,Abstract 1,Abstract 2,Abstract 3,Abstract 4,Abstract 5,Abstract 6,Abstract 7,Abstract 8,Abstract 9,Abstract 10
Abstract 1,1.0,0.2723,0.2392,0.2909,0.3077,0.3102,0.3017,0.0983,0.2125,0.3063
Abstract 2,0.2723,1.0,0.2279,0.249,0.2838,0.3032,0.2638,0.1919,0.2004,0.2617
Abstract 3,0.2392,0.2279,1.0,0.2354,0.2851,0.2334,0.2604,0.102,0.1811,0.2609
Abstract 4,0.2909,0.249,0.2354,1.0,0.38,0.2524,0.3266,0.095,0.2474,0.3555
Abstract 5,0.3077,0.2838,0.2851,0.38,1.0,0.3234,0.3421,0.1028,0.2278,0.3718
Abstract 6,0.3102,0.3032,0.2334,0.2524,0.3234,1.0,0.2945,0.1373,0.1841,0.3036
Abstract 7,0.3017,0.2638,0.2604,0.3266,0.3421,0.2945,1.0,0.115,0.258,0.3307
Abstract 8,0.0983,0.1919,0.102,0.095,0.1028,0.1373,0.115,1.0,0.079,0.1212
Abstract 9,0.2125,0.2004,0.1811,0.2474,0.2278,0.1841,0.258,0.079,1.0,0.2372
Abstract 10,0.3063,0.2617,0.2609,0.3555,0.3718,0.3036,0.3307,0.1212,0.2372,1.0
